gene	uniprot	entrez
A2BP1	Q9NWB1	54715
B3GALTL	Q6Y288	145173
B3GNT1	O43505	11041
B3GNT1	Q9NY97	10678
C2orf37	Q5H9S7	80067
C5orf42	Q9H799	65250
C8ORF37	Q96NL8	157657
CASC5	Q8NG31	57082
CHIP	Q9UNE7	10273
GPR56	Q9Y653	9289
GTDC2	Q8NAT1	84892
ISPD	A4D126	729920
JARID1C	P41229	8242
KAL1	P23352	3730
KIAA1279	Q96EK5	26128
KIAA2022	Q5QGS0	340533
LARGE	O95461	9215
MLL2	O14686	8085
MLL2	Q9UMN6	9757
QARS	P07814	2058
QARS	P47897	5859
TBR2	O95936	8320
TMEM5	Q9Y2B1	10329
TUBB5	P04350	10382
TUBB5	P07437	203068
ZNF238	Q99592	10472
TNSALP	P05186	249
