id,domain,pmid,name,osEntrez
GO:0099056,CC,25556795,integral component of presynaptic membrane (GO:0099056),16510
GO:0099508,BP,25556795,voltage-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099508),16510
GO:0099056,CC,14615029,integral component of presynaptic membrane (GO:0099056),16492
GO:0099055,CC,14615029,integral component of postsynaptic membrane (GO:0099055),16492
GO:0099056,CC,20857303,integral component of presynaptic membrane (GO:0099056),16502
GO:0099055,CC,20857303,integral component of postsynaptic membrane (GO:0099055),16504
GO:0099056,CC,20857303,integral component of presynaptic membrane (GO:0099056),16504
GO:0099508,BP,22615428,voltage-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099508),16492
GO:0099569,CC,12160747,presynaptic cytoskeleton (GO:0099569),30960
GO:0099061,CC,3224275,integral component of postsynaptic density membrane (GO:0099061),20320
GO:0099557,BP,10759566,"trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission (GO:0099557)",20320
GO:0099059,CC,23622064,integral component of presynaptic active zone membrane (GO:0099059),20320
GO:0097060,CC,22389504,synaptic membrane (GO:0097060),20320
GO:0098793,CC,15208641,presynapse (GO:0098793),268882
GO:0098793,CC,19996097,presynapse (GO:0098793),268882
GO:0016082,BP,21040848,synaptic vesicle priming (GO:0016082),108124
GO:0048787,CC,11718992,presynaptic active zone membrane (GO:0048787),108124
GO:0098794,CC,20118925,postsynapse (GO:0098794),20619
GO:0098888,CC,15983999,extrinsic component of presynaptic membrane (GO:0098888),20614
GO:0016079,BP,17728451,synaptic vesicle exocytosis (GO:0016079),20614
GO:0008021,CC,10195194,synaptic vesicle (GO:0008021),20615
GO:2000300,BP,19217378,regulation of synaptic vesicle exocytosis (GO:2000300),20615
GO:0098993,CC,25643395,anchored component of synaptic vesicle membrane (GO:0098993),328778
GO:0098993,CC,20926670,anchored component of synaptic vesicle membrane (GO:0098993),80718
SYNGO:catabolic_presynapse_regulation,BP,29084947,regulation of protein catabolic process at presynapse,328778
GO:0048488,BP,20926670,synaptic vesicle endocytosis (GO:0048488),80718
GO:0098993,CC,12167638,anchored component of synaptic vesicle membrane (GO:0098993),19339
GO:0098993,CC,17110340,anchored component of synaptic vesicle membrane (GO:0098993),19339
GO:0098993,CC,17110340,anchored component of synaptic vesicle membrane (GO:0098993),69908
GO:0031630,BP,9194562,regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031630),19339
GO:0098993,CC,8157621,anchored component of synaptic vesicle membrane (GO:0098993),67295
GO:0098831,CC,9252191,presynaptic active zone cytoplasmic component (GO:0098831),116837
GO:0016082,BP,21262469,synaptic vesicle priming (GO:0016082),116837
GO:0016081,BP,21241895,synaptic vesicle docking (GO:0016081),116837
GO:0098882,BP,21241895,structural constituent of active zone (GO:0098882),116837
GO:0045202,CC,24413018,synapse (GO:0045202),319468
GO:0099523,CC,24794094,presynaptic cytosol (GO:0099523),18752
GO:2000300,BP,24794094,regulation of synaptic vesicle exocytosis (GO:2000300),18752
GO:0099523,CC,21658591,presynaptic cytosol (GO:0099523),18750
GO:0099523,CC,21658591,presynaptic cytosol (GO:0099523),18751
GO:2000300,BP,21658591,regulation of synaptic vesicle exocytosis (GO:2000300),18750
GO:2000300,BP,21658591,regulation of synaptic vesicle exocytosis (GO:2000300),18751
GO:0098831,CC,27462810,presynaptic active zone cytoplasmic component (GO:0098831),116837
GO:0099523,CC,22745816,presynaptic cytosol (GO:0099523),13017
GO:0098831,CC,11163272,presynaptic active zone cytoplasmic component (GO:0098831),13017
GO:0016081,BP,26929012,synaptic vesicle docking (GO:0016081),13017
GO:0099524,CC,17534942,postsynaptic cytosol (GO:0099524),242662
GO:0045202,CC,11752468,synapse (GO:0045202),18805
GO:0099509,BP,23699505,regulation of presynaptic cytosolic calcium levels (GO:0099509),12568
GO:0016082,BP,17110441,synaptic vesicle priming (GO:0016082),20910
GO:0099061,CC,20678993,integral component of postsynaptic density membrane (GO:0099061),11941
GO:0099055,CC,17183553,integral component of postsynaptic membrane (GO:0099055),11941
GO:0099056,CC,17183553,integral component of presynaptic membrane (GO:0099056),320707
GO:0099059,CC,23622064,integral component of presynaptic active zone membrane (GO:0099059),11941
