geneId,msEntrez,geneSymbol,DSI,DPI,diseaseId,diseaseName,diseaseType,diseaseClass,diseaseSemanticType,score,EI,YearInitial,YearFinal,NofPmids,source
1312,268482,COMT,0.426,0.897,C0001723,"Affective Disorders, Psychotic",group,F03,Mental or Behavioral Dysfunction,0.35,1,2007,2011,5,PSYGENET
3240,16192,HP,0.461,0.793,C0001723,"Affective Disorders, Psychotic",group,F03,Mental or Behavioral Dysfunction,0.3,1,1982,1982,1,PSYGENET
3557,16409,IL1RN,0.398,0.897,C0001723,"Affective Disorders, Psychotic",group,F03,Mental or Behavioral Dysfunction,0.01,1,2008,2008,1,PSYGENET
4524,17313,MTHFR,0.354,0.828,C0001723,"Affective Disorders, Psychotic",group,F03,Mental or Behavioral Dysfunction,0.31,1,2006,2006,1,PSYGENET
6532,13016,SLC6A4,0.446,0.724,C0001723,"Affective Disorders, Psychotic",group,F03,Mental or Behavioral Dysfunction,0.31,1,2008,2010,2,PSYGENET
1387,15450,CREBBP,0.451,0.862,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.1,,,,0,HPO
1813,54128,DRD2,0.454,0.724,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.1,,,,0,HPO
2033,20495,EP300,0.489,0.828,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.1,,,,0,HPO
6530,13016,SLC6A2,0.534,0.724,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.01,,2005,2005,1,LHGDN
8910,109791,SGCE,0.633,0.517,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.1,,,,0,HPO
127,17025,ADH4,0.672,0.379,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2012,2012,1,PSYGENET
2067,20682,ERCC1,0.463,0.724,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2013,2013,1,PSYGENET
3359,21354,HTR3A,0.639,0.31,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2009,2009,1,PSYGENET
3360,21354,HTR4,0.645,0.552,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2014,2014,1,PSYGENET
4174,14394,MCM5,0.676,0.621,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2013,2013,1,PSYGENET
5496,22637,PPM1G,0.886,0.069,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2015,2015,1,PSYGENET
6303,23844,SAT1,0.546,0.759,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2014,2014,1,PSYGENET
7450,23894,VWF,0.462,0.724,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2014,2014,1,PSYGENET
9531,13829,BAG3,0.558,0.69,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2014,2014,1,PSYGENET
9705,14173,ST18,0.727,0.448,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2014,2014,1,PSYGENET
50838,210135,TAS2R13,0.707,0.379,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2014,2014,1,PSYGENET
121278,228911,TPH2,0.562,0.552,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.02,1,2009,2016,1,PSYGENET
121278,228911,TPH2,0.562,0.552,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.02,1,2009,2016,2,PSYGENET
3763,269378,KCNJ6,0.878,0.071,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.7,,2013,2013,1,GWASDB
125,17025,ADH1B,0.525,0.759,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.33,1,2006,2015,5,PSYGENET
126,17025,ADH1C,0.567,0.655,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.32,1,2007,2015,5,PSYGENET
216,109900,ALDH1A1,0.515,0.724,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,1988,1988,1,PSYGENET
217,109900,ALDH2,0.481,0.862,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.35,1,1983,2014,5,PSYGENET
590,13849,BCHE,0.503,0.793,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,1986,1986,1,PSYGENET
