msEntrez,Association,PMID,Source
11538,ADHD,24531329,DBD-Genes-Full-Data
77087,ADHD,25533962,DBD-Genes-Full-Data
77087,ADHD,25424714,DBD-Genes-Full-Data
77087,ADHD,25424714,DBD-Genes-Full-Data
77087,ADHD,25424714,DBD-Genes-Full-Data
77087,ADHD,25424714,DBD-Genes-Full-Data
77087,ADHD,25424714,DBD-Genes-Full-Data
77087,ADHD,21782149,DBD-Genes-Full-Data
239985,ADHD,25533962,DBD-Genes-Full-Data
239985,ADHD,23906836,DBD-Genes-Full-Data
22589,ADHD,24805811,DBD-Genes-Full-Data
22589,ADHD,25167861,DBD-Genes-Full-Data
319974,ADHD,23332918,DBD-Genes-Full-Data
319974,ADHD,25205402,DBD-Genes-Full-Data
12554,ADHD,24985125,DBD-Genes-Full-Data
244059,ADHD,24207121,DBD-Genes-Full-Data
67772,ADHD,24998929,DBD-Genes-Full-Data
67772,ADHD,24998929,DBD-Genes-Full-Data
11441,ADHD,22775350,DBD-Genes-Full-Data
216033,ADHD,19546859,DBD-Genes-Full-Data
216033,ADHD,20427753,DBD-Genes-Full-Data
12387,ADHD,25326669,DBD-Genes-Full-Data
72584,ADHD,20002452,DBD-Genes-Full-Data
72584,ADHD,25385192,DBD-Genes-Full-Data
13483,ADHD,19546859,DBD-Genes-Full-Data
13483,ADHD,25129042,DBD-Genes-Full-Data
331461,ADHD,21933724,DBD-Genes-Full-Data
93757,ADHD,24549057,DBD-Genes-Full-Data
93757,ADHD,24549057,DBD-Genes-Full-Data
93757,ADHD,24549057,DBD-Genes-Full-Data
93757,ADHD,19546859,DBD-Genes-Full-Data
93757,ADHD,25478008,DBD-Genes-Full-Data
14725,ADHD,22542183,DBD-Genes-Full-Data
72899,ADHD,25950944,DBD-Genes-Full-Data
72899,ADHD,21832240,DBD-Genes-Full-Data
109241,ADHD,23587880,DBD-Genes-Full-Data
109241,ADHD,23587880,DBD-Genes-Full-Data
635702,ADHD,19546859,DBD-Genes-Full-Data
18189,ADHD,20848651,DBD-Genes-Full-Data
18189,ADHD,23495017,DBD-Genes-Full-Data
18189,ADHD,23495017,DBD-Genes-Full-Data
18189,ADHD,23495017,DBD-Genes-Full-Data
18189,ADHD,23495017,DBD-Genes-Full-Data
18189,ADHD,23495017,DBD-Genes-Full-Data
18189,ADHD,21658582,DBD-Genes-Full-Data
18189,ADHD,20427753,DBD-Genes-Full-Data
18189,ADHD,24038936,DBD-Genes-Full-Data
18193,ADHD,23190751,DBD-Genes-Full-Data
18193,ADHD,23190751,DBD-Genes-Full-Data
258322,ADHD,19546859,DBD-Genes-Full-Data
18478,ADHD,24805811,DBD-Genes-Full-Data
50873,ADHD,23164820,DBD-Genes-Full-Data
50873,ADHD,23164820,DBD-Genes-Full-Data
211612,ADHD,25131214,DBD-Genes-Full-Data
211612,ADHD,25131214,DBD-Genes-Full-Data
211612,ADHD,25131214,DBD-Genes-Full-Data
19211,ADHD,23160955,DBD-Genes-Full-Data
19377,ADHD,21857958,DBD-Genes-Full-Data
19377,ADHD,21857958,DBD-Genes-Full-Data
20265,ADHD,24902755,DBD-Genes-Full-Data
20265,ADHD,19764027,DBD-Genes-Full-Data
110876,ADHD,25969726,DBD-Genes-Full-Data
240427,ADHD,25217958,DBD-Genes-Full-Data
240427,ADHD,23020937,DBD-Genes-Full-Data
72895,ADHD,23020937,DBD-Genes-Full-Data
105835,ADHD,23160955,DBD-Genes-Full-Data
58234,ADHD,17986102,DBD-Genes-Full-Data
58234,ADHD,25167861,DBD-Genes-Full-Data
58234,ADHD,23758760,DBD-Genes-Full-Data
20910,ADHD,20876469,DBD-Genes-Full-Data
20910,ADHD,20876469,DBD-Genes-Full-Data
20910,ADHD,20876469,DBD-Genes-Full-Data
20910,ADHD,21364700,DBD-Genes-Full-Data
20917,ADHD,25106414,DBD-Genes-Full-Data
240057,ADHD,21237447,DBD-Genes-Full-Data
21413,ADHD,20848651,DBD-Genes-Full-Data
21413,ADHD,25167861,DBD-Genes-Full-Data
68134,ADHD,20479756,DBD-Genes-Full-Data
68134,ADHD,22609145,DBD-Genes-Full-Data
213234,ADHD,21832240,DBD-Genes-Full-Data
213234,ADHD,21832240,DBD-Genes-Full-Data
11538,ADHD,27031564,DBD-Genes-Full-Data
319974,ADHD,27075013,DBD-Genes-Full-Data
319974,ADHD,27075013,DBD-Genes-Full-Data
319974,ADHD,27075013,DBD-Genes-Full-Data
101994,ADHD,27148580,DBD-Genes-Full-Data
13405,ADHD,26836830,DBD-Genes-Full-Data
229584,ADHD,26942287,DBD-Genes-Full-Data
229584,ADHD,26942287,DBD-Genes-Full-Data
102857,ADHD,26637798,DBD-Genes-Full-Data
223435,ADHD,26721934,DBD-Genes-Full-Data
223435,ADHD,26721934,DBD-Genes-Full-Data
225131,ADHD,26757981,DBD-Genes-Full-Data
225131,ADHD,26757981,DBD-Genes-Full-Data
225131,ADHD,26757981,DBD-Genes-Full-Data
225131,ADHD,26264232,DBD-Genes-Full-Data
11564,ADHD,24781210,DBD-Genes-Full-Data
77044,ADHD,26238514,DBD-Genes-Full-Data
