geneId,msEntrez,geneSymbol,DSI,DPI,diseaseId,diseaseName,diseaseType,diseaseClass,diseaseSemanticType,score,EI,YearInitial,YearFinal,NofPmids,NofSnps,source
627,13872,BDNF,0.382,0.828,C0001723,"Affective Disorders, Psychotic",group,F03,Mental or Behavioral Dysfunction,0.01,1,2014,2014,1,0,BEFREE
775,14309,CACNA1C,0.575,0.517,C0001723,"Affective Disorders, Psychotic",group,F03,Mental or Behavioral Dysfunction,0.01,1,2016,2016,1,1,BEFREE
1312,268482,COMT,0.426,0.897,C0001723,"Affective Disorders, Psychotic",group,F03,Mental or Behavioral Dysfunction,0.35,1,2007,2011,5,1,BEFREE;PSYGENET
2289,57279,FKBP5,0.572,0.655,C0001723,"Affective Disorders, Psychotic",group,F03,Mental or Behavioral Dysfunction,0.01,1,2006,2006,1,3,BEFREE
3105,20597,HLA-A,0.404,0.793,C0001723,"Affective Disorders, Psychotic",group,F03,Mental or Behavioral Dysfunction,0.01,0,1982,1982,1,0,BEFREE
3240,16192,HP,0.461,0.793,C0001723,"Affective Disorders, Psychotic",group,F03,Mental or Behavioral Dysfunction,0.3,1,1982,1982,1,0,PSYGENET
3557,16409,IL1RN,0.398,0.897,C0001723,"Affective Disorders, Psychotic",group,F03,Mental or Behavioral Dysfunction,0.01,1,2008,2008,1,0,BEFREE;PSYGENET
4524,17313,MTHFR,0.354,0.828,C0001723,"Affective Disorders, Psychotic",group,F03,Mental or Behavioral Dysfunction,0.31,1,2006,2006,1,0,BEFREE;PSYGENET
6532,13016,SLC6A4,0.446,0.724,C0001723,"Affective Disorders, Psychotic",group,F03,Mental or Behavioral Dysfunction,0.31,1,2008,2010,2,0,BEFREE;PSYGENET
8935,12802,SKAP2,0.713,0.345,C0001723,"Affective Disorders, Psychotic",group,F03,Mental or Behavioral Dysfunction,0.01,1,2008,2008,1,0,BEFREE
10017,14718,BCL2L10,0.681,0.379,C0001723,"Affective Disorders, Psychotic",group,F03,Mental or Behavioral Dysfunction,0.01,1,2017,2017,1,0,BEFREE
27185,20662,DISC1,0.592,0.552,C0001723,"Affective Disorders, Psychotic",group,F03,Mental or Behavioral Dysfunction,0.01,1,2016,2016,1,0,BEFREE
154197,98952,PNLDC1,,,C0001723,"Affective Disorders, Psychotic",group,F03,Mental or Behavioral Dysfunction,0.01,1,2017,2017,1,0,BEFREE
135,11656,ADORA2A,0.537,0.69,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.01,1,2004,2004,1,1,BEFREE
1387,15450,CREBBP,0.451,0.862,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.1,,,,0,0,HPO
1636,18242,ACE,0.367,0.897,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.01,1,2010,2010,1,0,BEFREE
1813,54128,DRD2,0.454,0.724,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.1,,,,0,0,HPO
2033,20495,EP300,0.489,0.828,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.1,,,,0,0,HPO
2332,12662,FMR1,0.492,0.69,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.01,1,2009,2009,1,0,BEFREE
3350,12475,HTR1A,0.529,0.621,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.01,1,2004,2004,1,0,BEFREE
4128,13371,MAOA,0.497,0.655,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.01,1,2006,2006,1,0,BEFREE
4852,19038,NPY,0.469,0.69,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.01,1,2008,2008,1,0,BEFREE
5027,67891,P2RX7,0.503,0.759,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.01,1,2007,2007,1,1,BEFREE
6530,13016,SLC6A2,0.534,0.724,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.01,,2005,2005,1,0,LHGDN
6532,13016,SLC6A4,0.446,0.724,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.02,1,2015,2016,2,0,BEFREE
8910,109791,SGCE,0.633,0.517,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.1,,,,0,0,HPO
10645,16450,CAMKK2,0.659,0.517,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.01,1,2007,2007,1,1,BEFREE
121278,228911,TPH2,0.562,0.552,C0001818,Agoraphobia,disease,F03,Mental or Behavioral Dysfunction,0.01,1,2006,2006,1,0,BEFREE
125,17025,ADH1B,0.525,0.759,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.4,0.9,1994,2015,13,1,BEFREE;CTD_human
126,17025,ADH1C,0.567,0.655,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.32,1,2005,2014,3,1,BEFREE;CTD_human
127,17025,ADH4,0.672,0.379,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2012,2012,1,0,BEFREE;PSYGENET
216,109900,ALDH1A1,0.515,0.724,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2009,2009,1,0,BEFREE
217,109900,ALDH2,0.481,0.862,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.36,1,1994,2018,8,0,BEFREE;CTD_human
238,11977,ALK,0.448,0.724,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2011,2011,1,0,BEFREE
