msEntrez,Association,PMID,Source
268860,Autism,,SFARI-Gene_genes
268379,Autism,,SFARI-Gene_genes
27403,Autism,,SFARI-Gene_genes
11421,Autism,,SFARI-Gene_genes
11423,Autism,,SFARI-Gene_genes
11461,Autism,,SFARI-Gene_genes
83766,Autism,,SFARI-Gene_genes
60595,Autism,,SFARI-Gene_genes
109652,Autism,,SFARI-Gene_genes
11486,Autism,,SFARI-Gene_genes
104111,Autism,,SFARI-Gene_genes
224129,Autism,,SFARI-Gene_genes
11534,Autism,,SFARI-Gene_genes
11538,Autism,,SFARI-Gene_genes
11542,Autism,,SFARI-Gene_genes
11564,Autism,,SFARI-Gene_genes
347722,Autism,,SFARI-Gene_genes
216439,Autism,,SFARI-Gene_genes
78933,Autism,,SFARI-Gene_genes
319660,Autism,,SFARI-Gene_genes
236511,Autism,,SFARI-Gene_genes
214150,Autism,,SFARI-Gene_genes
76850,Autism,,SFARI-Gene_genes
11609,Autism,,SFARI-Gene_genes
230793,Autism,,SFARI-Gene_genes
52906,Autism,,SFARI-Gene_genes
56847,Autism,,SFARI-Gene_genes
11566,Autism,,SFARI-Gene_genes
214579,Autism,,SFARI-Gene_genes
229665,Autism,,SFARI-Gene_genes
434437,Autism,,SFARI-Gene_genes
11735,Autism,,SFARI-Gene_genes
77087,Autism,,SFARI-Gene_genes
77531,Autism,,SFARI-Gene_genes
16952,Autism,,SFARI-Gene_genes
108012,Autism,,SFARI-Gene_genes
11784,Autism,,SFARI-Gene_genes
11785,Autism,,SFARI-Gene_genes
226548,Autism,,SFARI-Gene_genes
330914,Autism,,SFARI-Gene_genes
11855,Autism,,SFARI-Gene_genes
234094,Autism,,SFARI-Gene_genes
236915,Autism,,SFARI-Gene_genes
239985,Autism,,SFARI-Gene_genes
77044,Autism,,SFARI-Gene_genes
11864,Autism,,SFARI-Gene_genes
11878,Autism,,SFARI-Gene_genes
11540,Autism,,SFARI-Gene_genes
11555,Autism,,SFARI-Gene_genes
320438,Autism,,SFARI-Gene_genes
11835,Autism,,SFARI-Gene_genes
211914,Autism,,SFARI-Gene_genes
142687,Autism,,SFARI-Gene_genes
192195,Autism,,SFARI-Gene_genes
12316,Autism,,SFARI-Gene_genes
56079,Autism,,SFARI-Gene_genes
211961,Autism,,SFARI-Gene_genes
11982,Autism,,SFARI-Gene_genes
11928,Autism,,SFARI-Gene_genes
232975,Autism,,SFARI-Gene_genes
11941,Autism,,SFARI-Gene_genes
21871,Autism,,SFARI-Gene_genes
22589,Autism,,SFARI-Gene_genes
319974,Autism,,SFARI-Gene_genes
54140,Autism,,SFARI-Gene_genes
26361,Autism,,SFARI-Gene_genes
12007,Autism,,SFARI-Gene_genes
407823,Autism,,SFARI-Gene_genes
102774,Autism,,SFARI-Gene_genes
76960,Autism,,SFARI-Gene_genes
12041,Autism,,SFARI-Gene_genes
14025,Autism,,SFARI-Gene_genes
320376,Autism,,SFARI-Gene_genes
12211,Autism,,SFARI-Gene_genes
109880,Autism,,SFARI-Gene_genes
12190,Autism,,SFARI-Gene_genes
75665,Autism,,SFARI-Gene_genes
75770,Autism,,SFARI-Gene_genes
12182,Autism,,SFARI-Gene_genes
107182,Autism,,SFARI-Gene_genes
12234,Autism,,SFARI-Gene_genes
14790,Autism,,SFARI-Gene_genes
623781,Autism,,SFARI-Gene_genes
625018,Autism,,SFARI-Gene_genes
12353,Autism,,SFARI-Gene_genes
12286,Autism,,SFARI-Gene_genes
12287,Autism,,SFARI-Gene_genes
12288,Autism,,SFARI-Gene_genes
12289,Autism,,SFARI-Gene_genes
12290,Autism,,SFARI-Gene_genes
54652,Autism,,SFARI-Gene_genes
12291,Autism,,SFARI-Gene_genes
58226,Autism,,SFARI-Gene_genes
239556,Autism,,SFARI-Gene_genes
12293,Autism,,SFARI-Gene_genes
12294,Autism,,SFARI-Gene_genes
12296,Autism,,SFARI-Gene_genes
54725,Autism,,SFARI-Gene_genes
27062,Autism,,SFARI-Gene_genes
320405,Autism,,SFARI-Gene_genes
12322,Autism,,SFARI-Gene_genes
12323,Autism,,SFARI-Gene_genes
60594,Autism,,SFARI-Gene_genes
53872,Autism,,SFARI-Gene_genes
108723,Autism,,SFARI-Gene_genes
319996,Autism,,SFARI-Gene_genes
12361,Autism,,SFARI-Gene_genes
69743,Autism,,SFARI-Gene_genes
212139,Autism,,SFARI-Gene_genes
68339,Autism,,SFARI-Gene_genes
67015,Autism,,SFARI-Gene_genes
442829,Autism,,SFARI-Gene_genes
12450,Autism,,SFARI-Gene_genes
12454,Autism,,SFARI-Gene_genes
232035,Autism,,SFARI-Gene_genes
12464,Autism,,SFARI-Gene_genes
102657,Autism,,SFARI-Gene_genes
12494,Autism,,SFARI-Gene_genes
217866,Autism,,SFARI-Gene_genes
320873,Autism,,SFARI-Gene_genes
12552,Autism,,SFARI-Gene_genes
12554,Autism,,SFARI-Gene_genes
12564,Autism,,SFARI-Gene_genes
12565,Autism,,SFARI-Gene_genes
69562,Autism,,SFARI-Gene_genes
264064,Autism,,SFARI-Gene_genes
382253,Autism,,SFARI-Gene_genes
330409,Autism,,SFARI-Gene_genes
108013,Autism,,SFARI-Gene_genes
381644,Autism,,SFARI-Gene_genes
216274,Autism,,SFARI-Gene_genes
83922,Autism,,SFARI-Gene_genes
68178,Autism,,SFARI-Gene_genes
101994,Autism,,SFARI-Gene_genes
12648,Autism,,SFARI-Gene_genes
244059,Autism,,SFARI-Gene_genes
216848,Autism,,SFARI-Gene_genes
320790,Autism,,SFARI-Gene_genes
67772,Autism,,SFARI-Gene_genes
12651,Autism,,SFARI-Gene_genes
234852,Autism,,SFARI-Gene_genes
12671,Autism,,SFARI-Gene_genes
11441,Autism,,SFARI-Gene_genes
108043,Autism,,SFARI-Gene_genes
56506,Autism,,SFARI-Gene_genes
71722,Autism,,SFARI-Gene_genes
76707,Autism,,SFARI-Gene_genes
26889,Autism,,SFARI-Gene_genes
74440,Autism,,SFARI-Gene_genes
22169,Autism,,SFARI-Gene_genes
30952,Autism,,SFARI-Gene_genes
245684,Autism,,SFARI-Gene_genes
232791,Autism,,SFARI-Gene_genes
12801,Autism,,SFARI-Gene_genes
18488,Autism,,SFARI-Gene_genes
269784,Autism,,SFARI-Gene_genes
244682,Autism,,SFARI-Gene_genes
53870,Autism,,SFARI-Gene_genes
66797,Autism,,SFARI-Gene_genes
238680,Autism,,SFARI-Gene_genes
170571,Autism,,SFARI-Gene_genes
636808,Autism,,SFARI-Gene_genes
213945,Autism,,SFARI-Gene_genes
12896,Autism,,SFARI-Gene_genes
242939,Autism,,SFARI-Gene_genes
12914,Autism,,SFARI-Gene_genes
229663,Autism,,SFARI-Gene_genes
94109,Autism,,SFARI-Gene_genes
27373,Autism,,SFARI-Gene_genes
13018,Autism,,SFARI-Gene_genes
12386,Autism,,SFARI-Gene_genes
216033,Autism,,SFARI-Gene_genes
12387,Autism,,SFARI-Gene_genes
18163,Autism,,SFARI-Gene_genes
30785,Autism,,SFARI-Gene_genes
26554,Autism,,SFARI-Gene_genes
66515,Autism,,SFARI-Gene_genes
13048,Autism,,SFARI-Gene_genes
13051,Autism,,SFARI-Gene_genes
20430,Autism,,SFARI-Gene_genes
104086,Autism,,SFARI-Gene_genes
269060,Autism,,SFARI-Gene_genes
