complex,prediction,n,entrez
"(ER)-localized multiprotein complex, Ig heavy chains associated",ENDOPLASMIC RETICULUM,10,12304; 22027; 18453; 14828; 19035; 320011; 67838; 64136; 12282; 29867
"14-3-3 gamma-CXCR2 complex, unstimulated",LARGE PROTEIN COMPLEX,2,12765; 22628
20S methylosome and RG-containing Sm protein complex,LARGE PROTEIN COMPLEX,6,27374; 20638; 12729; 20641; 107686; 67332
20S methylosome-SmD complex,LARGE PROTEIN COMPLEX,4,27374; 12729; 20641; 67332
20S methyltransferase core complex,CYTOSOL|LARGE PROTEIN COMPLEX,2,27374; 12729
20S proteasome,LARGE PROTEIN COMPLEX,14,26444; 19170; 26440; 19166; 19167; 26441; 26442; 19172; 19175; 19173; 26446; 26445; 26443; 19177
26S proteasome,LARGE PROTEIN COMPLEX,22,26444; 19182; 19170; 26440; 19166; 19167; 26441; 26442; 19172; 19175; 19173; 19181; 23996; 26446; 26445; 19185; 26443; 19179; 19184; 67089; 19177; 23997
2AR-mGluR2 complex,ENDOPLASMIC RETICULUM,2,11551; 14800
3-Hydroxyacyl CoA dehydrogenase,MITOCHONDRIA,2,97212; 231086
3-methylcrotonyl-CoA carboxylase,MITOCHONDRIA,2,72039; 78038
"39S ribosomal subunit, mitochondrial",MITOCHONDRIA,48,66845; 94062; 56284; 56282; 80907; 68611; 18120; 19935; 66493; 27398; 66047; 68463; 353242; 67212; 107732; 68836; 107733; 28028; 94067; 107734; 67707; 60441; 68499; 52443; 94065; 67036; 75398; 66448; 68537; 78523; 66163; 94061; 56280; 67681; 67308; 69163; 74600; 18100; 27397; 216767; 94063; 27393; 66223; 27395; 94066; 94064; 66419; 67270
4E-T-DDX6-CNOT1 complex,LARGE PROTEIN COMPLEX,3,234594; 13209; 74203
5'-AMP-activated protein kinase complex (AMPK),CYTOSOL|UNKNOWN,3,19082; 108079; 108097
53BP1-containing complex,LARGE PROTEIN COMPLEX|NUCLEUS,5,14375; 22596; 19891; 68275; 27223
5FMC (Friends of Methylated Chtop) complex,LARGE PROTEIN COMPLEX|NUCLEUS,5,75273; 216156; 80886; 269536; 76130
5S-DNA-TFIIIA-TFIIIC2 subcomplex,NUCLEUS,6,233863; 71752; 66596; 269252; 70239; 98488
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,NUCLEUS,9,544971; 21374; 233863; 71752; 66596; 72308; 269252; 70239; 98488
60S APC containing complex,LARGE PROTEIN COMPLEX,4,103733; 11789; 29875; 22142
6S methyltransferase complex,LARGE PROTEIN COMPLEX,3,12729; 20641; 67332
6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex,CYTOSOL|UNKNOWN,2,11622; 11863
7SK RNP complex,LARGE PROTEIN COMPLEX|NUCLEUS,4,12455; 192231; 107951; 28036
