status,gene_symbol,gene_name,ensembl_id,entrez_id,osEntrez,chromosome,genetic_category,gene_score,syndromic,number_of_reports
9,ABAT,4-aminobutyrate aminotransferase,ENSG00000183044,18,268860,16,"Rare Single Gene Mutation, Genetic Association",3,0,5
9,ABCA13,ATP binding cassette subfamily A member 13,ENSG00000179869,154664,268379,7,"Rare Single Gene Mutation, Functional",3,0,6
9,ABCA7,"ATP-binding cassette, sub-family A (ABC1), member 7",ENSG00000064687,10347,27403,19,Rare Single Gene Mutation,3,0,4
9,ACE,angiotensin I converting enzyme,ENSG00000159640,1636,11421,17,"Rare Single Gene Mutation, Genetic Association",3,0,3
9,ACHE,Acetylcholinesterase (Yt blood group),ENSG00000087085,43,11423,7,Rare Single Gene Mutation,2,0,4
9,ACTB,actin beta,ENSG00000075624,60,11461,7,"Rare Single Gene Mutation, Syndromic",1,0,3
9,ACTL6B,actin like 6B,ENSG00000077080,51412,83766,7,"Rare Single Gene Mutation, Syndromic",,1,8
9,ACTN4,actinin alpha 4,ENSG00000130402,81,60595,19,Rare Single Gene Mutation,3,0,4
9,ACY1,aminoacylase 1,ENSG00000243989,95,109652,3,"Rare Single Gene Mutation, Syndromic",,1,9
9,ADA,adenosine deaminase,ENSG00000196839,100,11486,20,"Rare Single Gene Mutation, Genetic Association",2,0,7
9,ADCY3,adenylate cyclase 3,ENSG00000138031,109,104111,2,Rare Single Gene Mutation,2,0,2
9,ADCY5,Adenylate cyclase 5,ENSG00000173175,111,224129,3,Rare Single Gene Mutation,3,0,6
9,ADK,adenosine kinase,ENSG00000156110,132,11534,10,Rare Single Gene Mutation,3,0,2
9,ADNP,Activity-dependent neuroprotector homeobox,ENSG00000101126,23394,11538,20,"Rare Single Gene Mutation, Syndromic, Functional",1,0,39
9,ADORA3,Adenosine A3 receptor,ENSG00000282608,140,11542,1,"Rare Single Gene Mutation, Functional",3,0,2
9,ADSL,adenylosuccinate lyase,ENSG00000239900,158,11564,22,"Rare Single Gene Mutation, Syndromic",1,0,6
9,AGAP1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",ENSG00000157985,116987,347722,2,Rare Single Gene Mutation,3,0,8
9,AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",ENSG00000135439,116986,216439,12,Rare Single Gene Mutation,2,0,4
9,AGBL4,ATP/GTP binding protein-like 4,ENSG00000186094,84871,78933,1,Rare Single Gene Mutation,3,0,3
9,AGMO,alkylglycerol monooxygenase,ENSG00000187546,392636,319660,7,"Rare Single Gene Mutation, Genetic Association",3,0,6
